occupation_name,url,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
"     Engineering teachers, postsecondary",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,nan,nan,nan,nan,nan,nan,nan
     Commercial pilots,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,nan,nan,nan,nan,nan,nan,nan
"     Psychology teachers, postsecondary",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,nan,nan,nan,nan,nan,nan,nan
     Physical therapist aides,https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,nan,nan,nan,nan,nan,nan,nan
     Computer numerically controlled tool programmers,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,nan,nan,nan,nan,nan,nan,nan
"     Environmental science and protection technicians, including health",https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm,nan,nan,nan,nan,nan,nan,nan
     Private detectives and investigators,https://www.bls.gov/ooh/protective-service/private-detectives-and-investigators.htm,nan,nan,nan,nan,nan,nan,nan
"     Special education teachers, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#252059,nan,nan,nan,nan,nan,nan,nan
"     Pesticide handlers, sprayers, and applicators, vegetation",https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,nan,nan,nan,nan,nan,nan,nan
     Hazardous materials removal workers,https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,nan,nan,nan,nan,nan,nan,nan
"     Education administrators, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#119039,nan,nan,nan,nan,nan,nan,nan
"     Umpires, referees, and other sports officials",https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm,nan,nan,nan,nan,nan,nan,nan
"     Special education teachers, preschool",https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,nan,nan,nan,nan,nan,nan,nan
"     Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475097,nan,nan,nan,nan,nan,nan,nan
     Ophthalmic laboratory technicians,https://www.bls.gov/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm,nan,nan,nan,nan,nan,nan,nan
     Credit counselors,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#132071,nan,nan,nan,nan,nan,nan,nan
     Licensed practical and licensed vocational nurses,https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm,nan,nan,nan,nan,nan,nan,nan
     Respiratory therapists,https://www.bls.gov/ooh/healthcare/respiratory-therapists.htm,nan,nan,nan,nan,nan,nan,nan
     Manicurists and pedicurists,https://www.bls.gov/ooh/personal-care-and-service/manicurists-and-pedicurists.htm,nan,nan,nan,nan,nan,nan,nan
     Medical assistants,https://www.bls.gov/ooh/healthcare/medical-assistants.htm,nan,nan,nan,nan,nan,nan,nan
     Occupational therapy aides,https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,nan,nan,nan,nan,nan,nan,nan
     Helpers--extraction workers,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475081,nan,nan,nan,nan,nan,nan,nan
     Interpreters and translators,https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm,nan,nan,nan,nan,nan,nan,nan
     Genetic counselors,https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,nan,nan,nan,nan,nan,nan,nan
     Massage therapists,https://www.bls.gov/ooh/healthcare/massage-therapists.htm,nan,nan,nan,nan,nan,nan,nan
"     Health specialties teachers, postsecondary",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,nan,nan,nan,nan,nan,nan,nan
"     Bus drivers, transit and intercity",https://www.bls.gov/ooh/transportation-and-material-moving/passenger-vehicle-drivers.htm,nan,nan,nan,nan,nan,nan,nan
"     Service unit operators, oil and gas",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475013,nan,nan,nan,nan,nan,nan,nan
"     Cooks, restaurant",https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,nan,nan,nan,nan,nan,nan,nan
     Animal caretakers,https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,nan,nan,nan,nan,nan,nan,nan
     Security and fire alarm systems installers,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#492098,nan,nan,nan,nan,nan,nan,nan
     Septic tank servicers and sewer pipe cleaners,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#474071,nan,nan,nan,nan,nan,nan,nan
"     Floor layers, except carpet, wood, and hard tiles",https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,nan,nan,nan,nan,nan,nan,nan
     Athletes and sports competitors,https://www.bls.gov/ooh/entertainment-and-sports/athletes-and-sports-competitors.htm,nan,nan,nan,nan,nan,nan,nan
"     Rotary drill operators, oil and gas",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475012,nan,nan,nan,nan,nan,nan,nan
     Political scientists,https://www.bls.gov/ooh/life-physical-and-social-science/political-scientists.htm,nan,nan,nan,nan,nan,nan,nan
     Animal scientists,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,nan,nan,nan,nan,nan,nan,nan
"     Entertainment attendants and related workers, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#393099,nan,nan,nan,nan,nan,nan,nan
"     Project management specialists and business operations specialists, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#131198,nan,nan,nan,nan,nan,nan,nan
     General and operations managers,https://www.bls.gov/ooh/management/top-executives.htm,nan,nan,nan,nan,nan,nan,nan
"     Computer occupations, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#151299,nan,nan,nan,nan,nan,nan,nan
     Bartenders,https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm,nan,nan,nan,nan,nan,nan,nan
     Hearing aid specialists,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#292092,nan,nan,nan,nan,nan,nan,nan
