url,occupation_name,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475097,"     Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",,,,,,,
https://www.bls.gov/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm,     Ophthalmic laboratory technicians,"$37,370 per year  $17.96 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,81200,9% (Much faster than average),7400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#132071,     Credit counselors,,,,,,,
https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm,     Licensed practical and licensed vocational nurses,"$47,480 per year  $22.83 per hour",Postsecondary nondegree award,None,None,721700,9% (Much faster than average),65700
https://www.bls.gov/ooh/healthcare/respiratory-therapists.htm,     Respiratory therapists,"$61,330 per year  $29.48 per hour",Associate's degree,None,None,135800,19% (Much faster than average),26300
https://www.bls.gov/ooh/personal-care-and-service/manicurists-and-pedicurists.htm,     Manicurists and pedicurists,"$25,770 per year  $12.39 per hour",Postsecondary nondegree award,None,None,155300,19% (Much faster than average),29900
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,     Medical assistants,"$34,800 per year  $16.73 per hour",Postsecondary nondegree award,None,None,725200,19% (Much faster than average),139200
https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,     Occupational therapy aides,"$59,200 per year  $28.46 per hour",See How to Become One,None,See How to Become One,55100,32% (Much faster than average),17900
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475081,     Helpers--extraction workers,,,,,,,
https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm,     Interpreters and translators,"$51,830 per year  $24.92 per hour",Bachelor's degree,None,None,77400,20% (Much faster than average),15500
https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,     Genetic counselors,"$81,880 per year  $39.36 per hour",Master's degree,None,None,2600,21% (Much faster than average),600
https://www.bls.gov/ooh/healthcare/massage-therapists.htm,     Massage therapists,"$42,820 per year  $20.59 per hour",Postsecondary nondegree award,None,None,166700,21% (Much faster than average),34400
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Health specialties teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/transportation-and-material-moving/passenger-vehicle-drivers.htm,"     Bus drivers, transit and intercity","$33,300 per year  $16.01 per hour",See How to Become One,None,See How to Become One,1076700,11% (Much faster than average),115300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475013,"     Service unit operators, oil and gas",,,,,,,
https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,"     Cooks, restaurant","$26,360 per year  $12.67 per hour",See How to Become One,See How to Become One,See How to Become One,2571700,10% (Much faster than average),256600
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,     Animal caretakers,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#492098,     Security and fire alarm systems installers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#474071,     Septic tank servicers and sewer pipe cleaners,,,,,,,
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"     Floor layers, except carpet, wood, and hard tiles","$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100
https://www.bls.gov/ooh/entertainment-and-sports/athletes-and-sports-competitors.htm,     Athletes and sports competitors,"$51,370 per year",No formal educational credential,None,Long-term on-the-job training,13600,10% (Much faster than average),1400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475012,"     Rotary drill operators, oil and gas",,,,,,,
https://www.bls.gov/ooh/life-physical-and-social-science/political-scientists.htm,     Political scientists,"$122,220 per year  $58.76 per hour",Master's degree,None,None,7000,6% (Faster than average),400
https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,     Animal scientists,"$65,160 per year  $31.33 per hour",Bachelor's degree,None,None,34800,6% (Faster than average),2000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#393099,"     Entertainment attendants and related workers, all other",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#131198,"     Project management specialists and business operations specialists, all other",,,,,,,
https://www.bls.gov/ooh/management/top-executives.htm,     General and operations managers,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#151299,"     Computer occupations, all other",,,,,,,
https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm,     Bartenders,"$23,680 per year  $11.39 per hour",No formal educational credential,None,Short-term on-the-job training,654700,6% (Faster than average),38400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#292092,     Hearing aid specialists,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#537072,"     Pump operators, except wellhead pumpers",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#131074,     Farm labor contractors,,,,,,,
https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,     Fast food and counter workers,"$23,000 per year  $11.06 per hour",No formal educational credential,None,Short-term on-the-job training,5324100,10% (Much faster than average),552400
https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm,     Forest fire inspectors and prevention specialists,"$60,230 per year  $28.96 per hour",See How to Become One,See How to Become One,Moderate-term on-the-job training,16400,8% (Much faster than average),1400
https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,     Landscaping and groundskeeping workers,"$30,890 per year  $14.85 per hour",See How to Become One,None,See How to Become One,1305300,10% (Much faster than average),130800
https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,     Industrial engineers,"$88,020 per year  $42.32 per hour",Bachelor's degree,None,None,295800,10% (Much faster than average),30000
https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm,     Paralegals and legal assistants,"$51,740 per year  $24.87 per hour",Associate's degree,None,None,337800,10% (Much faster than average),35300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#393091,     Amusement and recreation attendants,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#253021,     Self-enrichment teachers,,,,,,,
https://www.bls.gov/ooh/personal-care-and-service/recreation-workers.htm,     Recreation workers,"$26,350 per year  $12.67 per hour",High school diploma or equivalent,None,Short-term on-the-job training,417100,10% (Much faster than average),41500
https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm,     Computer and information systems managers,"$146,360 per year  $70.37 per hour",Bachelor's degree,5 years or more,None,461000,10% (Much faster than average),48100
https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,     Medical secretaries and administrative assistants,"$39,850 per year  $19.16 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,3638800,-9% (Decline),-327400
https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm,     Rehabilitation counselors,"$35,950 per year  $17.28 per hour",Master's degree,None,None,120200,10% (Much faster than average),12300
https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,     Database administrators and architects,"$93,750 per year  $45.07 per hour",Bachelor's degree,None,None,132500,10% (Much faster than average),12800
https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm,     Producers and directors,"$74,420 per year  $35.78 per hour",Bachelor's degree,Less than 5 years,None,159500,10% (Much faster than average),16000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475071,"     Roustabouts, oil and gas",,,,,,,
https://www.bls.gov/ooh/math/operations-research-analysts.htm,     Operations research analysts,"$84,810 per year  $40.78 per hour",Bachelor's degree,None,None,105100,25% (Much faster than average),26100
https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,"     Substance abuse, behavioral disorder, and mental health counselors","$46,240 per year  $22.23 per hour",Bachelor's degree,None,None,319400,25% (Much faster than average),79000
https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm,     Speech-language pathologists,"$79,120 per year  $38.04 per hour",Master's degree,None,Internship/residency,162600,25% (Much faster than average),40500
https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,     Light truck drivers,"$32,020 per year  $15.39 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1506000,5% (Faster than average),75000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#351012,     First-line supervisors of food preparation and serving workers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#413091,"     Sales representatives of services, except advertising, insurance, financial services, and travel",,,,,,,
https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,     Emergency medical technicians and paramedics,"$35,400 per year  $17.02 per hour",Postsecondary nondegree award,None,None,265200,6% (Faster than average),17000
https://www.bls.gov/ooh/protective-service/firefighters.htm,     Firefighters,"$50,850 per year  $24.45 per hour",Postsecondary nondegree award,None,Long-term on-the-job training,335500,6% (Faster than average),20300
https://www.bls.gov/ooh/management/administrative-services-managers.htm,     Administrative services and facilities managers,"$96,940 per year  $46.61 per hour",Bachelor's degree,Less than 5 years,None,325900,6% (Faster than average),21200
https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm,"     Medical scientists, except epidemiologists","$88,790 per year  $42.69 per hour",Doctoral or professional degree,None,None,138300,6% (Faster than average),8400
https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm,     Coaches and scouts,"$34,840 per year",Bachelor's degree,None,None,292000,12% (Much faster than average),34300
https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,"     Child, family, and school social workers","$50,470 per year  $24.26 per hour",See How to Become One,None,See How to Become One,713200,13% (Much faster than average),90700
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#211099,"     Community and social service specialists, all other",,,,,,,
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Business teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#399041,     Residential advisors,,,,,,,
https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm,     Medical and health services managers,"$100,980 per year  $48.55 per hour",Bachelor's degree,Less than 5 years,None,422300,32% (Much faster than average),133200
https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,     Physical therapist assistants,"$48,990 per year  $23.55 per hour",See How to Become One,None,See How to Become One,149300,29% (Much faster than average),43000
https://www.bls.gov/ooh/healthcare/home-health-aides-and-personal-care-aides.htm,     Home health and personal care aides,"$25,280 per year  $12.15 per hour",High school diploma or equivalent,None,Short-term on-the-job training,3439700,34% (Much faster than average),1159500
https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,     Occupational therapy assistants,"$59,200 per year  $28.46 per hour",See How to Become One,None,See How to Become One,55100,32% (Much faster than average),17900
https://www.bls.gov/ooh/food-preparation-and-serving/chefs-and-head-cooks.htm,     Chefs and head cooks,"$51,530 per year  $24.78 per hour",High school diploma or equivalent,5 years or more,None,148700,6% (Faster than average),9500
https://www.bls.gov/ooh/management/human-resources-managers.htm,     Human resources managers,"$116,720 per year  $56.11 per hour",Bachelor's degree,5 years or more,None,165200,6% (Faster than average),10400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#395093,     Shampooers,,,,,,,
https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm,     Exercise physiologists,"$49,170 per year  $23.64 per hour",Bachelor's degree,None,None,19800,11% (Much faster than average),2200
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#395091,"     Makeup artists, theatrical and performance",,,,,,,
https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,     Management analysts,"$85,260 per year  $40.99 per hour",Bachelor's degree,Less than 5 years,None,876300,11% (Much faster than average),93800
https://www.bls.gov/ooh/transportation-and-material-moving/passenger-vehicle-drivers.htm,"     Passenger vehicle drivers, except bus drivers, transit and intercity","$33,300 per year  $16.01 per hour",See How to Become One,None,See How to Become One,1076700,11% (Much faster than average),115300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#391098,"     First-line supervisors of personal service and entertainment and recreation workers, except gambling services",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#371012,"     First-line supervisors of landscaping, lawn service, and groundskeeping workers",,,,,,,
https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,     Agricultural equipment operators,"$25,840 per year  $12.42 per hour",See How to Become One,None,See How to Become One,902900,1% (Slower than average),9200
https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm,     Urban and regional planners,"$74,350 per year  $35.75 per hour",Master's degree,None,None,39700,11% (Much faster than average),4400
https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm,     Psychiatric aides,"$32,020 per year  $15.40 per hour",See How to Become One,See How to Become One,Short-term on-the-job training,142300,12% (Much faster than average),17500
https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,     Tree trimmers and pruners,"$30,890 per year  $14.85 per hour",See How to Become One,None,See How to Become One,1305300,10% (Much faster than average),130800
https://www.bls.gov/ooh/community-and-social-service/health-educators.htm,     Health education specialists,"$46,910 per year  $22.55 per hour",See How to Become One,None,See How to Become One,127100,13% (Much faster than average),17000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475011,"     Derrick operators, oil and gas",,,,,,,
https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm,     Information security analysts,"$99,730 per year  $47.95 per hour",Bachelor's degree,Less than 5 years,None,131000,31% (Much faster than average),40900
https://www.bls.gov/ooh/healthcare/physician-assistants.htm,     Physician assistants,"$112,260 per year  $53.97 per hour",Master's degree,None,None,125500,31% (Much faster than average),39300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#152098,"     Data scientists and mathematical science occupations, all other",,,,,,,
https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,     Police and sheriffs patrol officers,"$65,170 per year  $31.33 per hour",See How to Become One,See How to Become One,Moderate-term on-the-job training,813500,5% (Faster than average),40600
https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,     Instructional coordinators,"$66,290 per year  $31.87 per hour",Master's degree,5 years or more,None,192900,6% (Faster than average),11400
https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,     Computer network support specialists,"$54,760 per year  $26.33 per hour",See How to Become One,None,None,882300,8% (Much faster than average),67300
https://www.bls.gov/ooh/healthcare/dental-hygienists.htm,     Dental hygienists,"$76,220 per year  $36.65 per hour",Associate's degree,None,None,226400,6% (Faster than average),13300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#435011,     Cargo and freight agents,,,,,,,
https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm,     Public safety telecommunicators,"$41,910 per year  $20.15 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,98300,6% (Faster than average),6100
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Art, drama, and music teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,     Family medicine physicians,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300
https://www.bls.gov/ooh/sales/sales-engineers.htm,     Sales engineers,"$103,900 per year  $49.95 per hour",Bachelor's degree,None,Moderate-term on-the-job training,64500,6% (Faster than average),4100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#331021,     First-line supervisors of firefighting and prevention workers,,,,,,,
https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,     Wind turbine service technicians,"$52,910 per year  $25.44 per hour",Postsecondary nondegree award,None,Long-term on-the-job training,7000,61% (Much faster than average),4300
https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm,     Psychiatric technicians,"$32,020 per year  $15.40 per hour",See How to Become One,See How to Become One,Short-term on-the-job training,142300,12% (Much faster than average),17500
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,     Animal trainers,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#211019,"     Counselors, all other",,,,,,,
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"     Gambling service workers, all other","$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000
https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,"     Maintenance workers, machinery","$52,860 per year  $25.41 per hour",High school diploma or equivalent,None,See How to Become One,521300,13% (Much faster than average),70100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#339091,     Crossing guards and flaggers,,,,,,,
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,     Audio and video technicians,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,     Psychiatrists,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#131011,"     Agents and business managers of artists, performers, and athletes",,,,,,,
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,     Museum technicians and conservators,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200
https://www.bls.gov/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm,     Medical appliance technicians,"$37,370 per year  $17.96 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,81200,9% (Much faster than average),7400
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,     Nurse midwives,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700
https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm,     Statisticians,"$92,030 per year  $44.25 per hour",Master's degree,None,None,45700,33% (Much faster than average),14900
https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,     Solar photovoltaic installers,"$44,890 per year  $21.58 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,12000,51% (Much faster than average),6100
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,     Nurse practitioners,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700
https://www.bls.gov/ooh/healthcare/radiation-therapists.htm,     Radiation therapists,"$85,560 per year  $41.14 per hour",Associate's degree,None,None,18500,7% (Faster than average),1300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#396012,     Concierges,,,,,,,
https://www.bls.gov/ooh/life-physical-and-social-science/economists.htm,     Economists,"$105,020 per year  $50.49 per hour",Master's degree,None,None,20500,14% (Much faster than average),2900
https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm,     Choreographers,$18.68 per hour,See How to Become One,See How to Become One,Long-term on-the-job training,16900,6% (Faster than average),1000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#291129,"     Therapists, all other",,,,,,,
https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm,     Computer and information research scientists,"$122,840 per year  $59.06 per hour",Master's degree,None,None,32700,15% (Much faster than average),5000
https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm,     Human resources specialists,"$61,920 per year  $29.77 per hour",Bachelor's degree,None,None,666500,7% (Faster than average),46900
https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineering-technicians.htm,     Environmental engineering technologists and technicians,"$50,620 per year  $24.34 per hour",Associate's degree,None,None,18500,7% (Faster than average),1400
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Law teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,     Elevator and escalator installers and repairers,"$84,990 per year  $40.86 per hour",High school diploma or equivalent,None,Apprenticeship,28900,7% (Faster than average),1900
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Philosophy and religion teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm,     Magnetic resonance imaging technologists,"$62,280 per year  $29.94 per hour",Associate's degree,See How to Become One,None,250700,7% (Faster than average),16800
https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm,     Aerospace engineering and operations technologists and technicians,"$66,020 per year  $31.74 per hour",Associate's degree,None,None,11900,7% (Faster than average),800
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#339011,     Animal control workers,,,,,,,
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Criminal justice and law enforcement teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,"     Grounds maintenance workers, all other","$30,890 per year  $14.85 per hour",See How to Become One,None,See How to Become One,1305300,10% (Much faster than average),130800
https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,     Soil and plant scientists,"$65,160 per year  $31.33 per hour",Bachelor's degree,None,None,34800,6% (Faster than average),2000
https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm,     Physicists,"$122,220 per year  $58.76 per hour",Doctoral or professional degree,None,None,20500,7% (Faster than average),1400
https://www.bls.gov/ooh/healthcare/audiologists.htm,     Audiologists,"$77,600 per year  $37.31 per hour",Doctoral or professional degree,None,None,13800,13% (Much faster than average),1800
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,     Curators,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200
https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,     Healthcare social workers,"$50,470 per year  $24.26 per hour",See How to Become One,None,See How to Become One,713200,13% (Much faster than average),90700
https://www.bls.gov/ooh/business-and-financial/fundraisers.htm,     Fundraisers,"$57,970 per year  $27.87 per hour",Bachelor's degree,None,None,100600,14% (Much faster than average),14400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#292057,     Ophthalmic medical technicians,,,,,,,
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,     Nurse anesthetists,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,"     Camera operators, television, video, and film","$59,810 per year  $28.76 per hour",Bachelor's degree,None,None,67900,18% (Much faster than average),12400
https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm,     Forensic science technicians,"$59,150 per year  $28.44 per hour",Bachelor's degree,None,Moderate-term on-the-job training,17200,14% (Much faster than average),2400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#339032,     Security guards,,,,,,,
https://www.bls.gov/ooh/production/welders-cutters-solderers-and-brazers.htm,"     Welders, cutters, solderers, and brazers","$42,490 per year  $20.43 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,438900,3% (As fast as average),13600
https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,     Driver/sales workers,"$32,020 per year  $15.39 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1506000,5% (Faster than average),75000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#253031,"     Substitute teachers, short-term",,,,,,,
https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,     Industrial truck and tractor operators,"$36,770 per year  $17.68 per hour",See How to Become One,See How to Become One,See How to Become One,761400,2% (Slower than average),19000
https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm,     Bus and truck mechanics and diesel engine specialists,"$48,500 per year  $23.32 per hour",High school diploma or equivalent,None,Long-term on-the-job training,281300,3% (As fast as average),9600
https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,     Loan officers,"$63,270 per year  $30.42 per hour",Bachelor's degree,None,Moderate-term on-the-job training,316900,3% (As fast as average),10100
https://www.bls.gov/ooh/management/training-and-development-managers.htm,     Training and development managers,"$113,350 per year  $54.50 per hour",Bachelor's degree,5 years or more,None,42300,7% (Faster than average),3100
https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,     Millwrights,"$52,860 per year  $25.41 per hour",High school diploma or equivalent,None,See How to Become One,521300,13% (Much faster than average),70100
https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,     Technical writers,"$72,850 per year  $35.03 per hour",Bachelor's degree,Less than 5 years,Short-term on-the-job training,58400,7% (Faster than average),4300
https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,     Financial examiners,"$81,090 per year  $38.99 per hour",Bachelor's degree,None,Long-term on-the-job training,66900,7% (Faster than average),4900
https://www.bls.gov/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm,     Barbers,"$26,270 per year  $12.63 per hour",Postsecondary nondegree award,None,None,722600,-1% (Decline),-9200
https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,"     Food preparation and serving related workers, all other","$23,000 per year  $11.06 per hour",No formal educational credential,None,Short-term on-the-job training,5324100,10% (Much faster than average),552400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#319099,"     Healthcare support workers, all other",,,,,,,
https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,     Surgical technologists,"$48,300 per year  $23.22 per hour",Postsecondary nondegree award,None,None,111300,7% (Faster than average),7600
https://www.bls.gov/ooh/community-and-social-service/health-educators.htm,     Community health workers,"$46,910 per year  $22.55 per hour",See How to Become One,None,See How to Become One,127100,13% (Much faster than average),17000
https://www.bls.gov/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm,     Exercise trainers and group fitness instructors,"$40,390 per year  $19.42 per hour",High school diploma or equivalent,None,Short-term on-the-job training,373700,15% (Much faster than average),57600
https://www.bls.gov/ooh/management/financial-managers.htm,     Financial managers,"$129,890 per year  $62.45 per hour",Bachelor's degree,5 years or more,None,697900,15% (Much faster than average),108100
https://www.bls.gov/ooh/healthcare/athletic-trainers.htm,     Athletic trainers,"$48,440 per year",Bachelor's degree,None,None,32100,16% (Much faster than average),5200
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#536021,     Parking attendants,,,,,,,
