url,occupation_name,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,     Cardiovascular technologists and technicians,"$68,750 per year  $33.05 per hour",Associate's degree,None,None,131700,12% (Much faster than average),15600
https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,"     Weighers, measurers, checkers, and samplers, recordkeeping","$30,010 per year  $14.43 per hour",High school diploma or equivalent,None,See How to Become One,3286000,-1% (Decline),-28100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#397010,     Tour and travel guides,,,,,,,
https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,"     Social workers, all other","$50,470 per year  $24.26 per hour",See How to Become One,None,See How to Become One,713200,13% (Much faster than average),90700
https://www.bls.gov/ooh/management/natural-sciences-managers.htm,     Natural sciences managers,"$129,100 per year  $62.07 per hour",Bachelor's degree,5 years or more,None,71400,5% (Faster than average),3400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519021,"     Crushing, grinding, and polishing machine setters, operators, and tenders",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519195,"     Molders, shapers, and casters, except metal and plastic",,,,,,,
https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,     Insurance underwriters,"$70,020 per year  $33.67 per hour",Bachelor's degree,None,Moderate-term on-the-job training,114700,-6% (Decline),-7100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519196,"     Paper goods machine setters, operators, and tenders",,,,,,,
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,     Brickmasons and blockmasons,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000
https://www.bls.gov/ooh/sales/advertising-sales-agents.htm,     Advertising sales agents,"$53,310 per year  $25.63 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,139200,-6% (Decline),-9000
https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,"     Claims adjusters, examiners, and investigators","$66,540 per year  $31.99 per hour",See How to Become One,None,See How to Become One,348800,-6% (Decline),-22000
https://www.bls.gov/ooh/life-physical-and-social-science/geoscientists.htm,"     Geoscientists, except hydrologists and geographers","$92,040 per year  $44.25 per hour",Bachelor's degree,None,None,31800,5% (Faster than average),1600
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#472151,     Pipelayers,,,,,,,
https://www.bls.gov/ooh/healthcare/nuclear-medicine-technologists.htm,     Nuclear medicine technologists,"$77,950 per year  $37.48 per hour",Associate's degree,None,None,18500,5% (Faster than average),1000
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Political science teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,     Bioengineers and biomedical engineers,"$91,410 per year  $43.95 per hour",Bachelor's degree,None,None,21200,5% (Faster than average),1000
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,     Construction laborers,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#531047,"     First-line supervisors of transportation and material-moving workers, except aircraft cargo handling supervisors",,,,,,,
https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,"     Financial and investment analysts, financial risk specialists, and financial specialists, all other","$81,590 per year  $39.22 per hour",Bachelor's degree,None,None,487800,5% (Faster than average),26800
https://www.bls.gov/ooh/protective-service/correctional-officers.htm,     Bailiffs,"$45,300 per year  $21.78 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,462300,-7% (Decline),-33100
https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm,     Mechanical engineering technologists and technicians,"$56,980 per year  $27.40 per hour",Associate's degree,None,None,43500,3% (As fast as average),1400
https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,     Environmental engineers,"$88,860 per year  $42.72 per hour",Bachelor's degree,None,None,55800,3% (As fast as average),1700
https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm,     Civil engineering technologists and technicians,"$53,410 per year  $25.68 per hour",Associate's degree,None,None,70900,3% (As fast as average),1800
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Computer science teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,"     Judges, magistrate judges, and magistrates","$120,090 per year  $57.74 per hour",Doctoral or professional degree,5 years or more,Short-term on-the-job training,45300,2% (Slower than average),1100
https://www.bls.gov/ooh/architecture-and-engineering/petroleum-engineers.htm,     Petroleum engineers,"$137,720 per year  $66.21 per hour",Bachelor's degree,None,None,33400,3% (As fast as average),1100
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Communications teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,"     Excavating and loading machine and dragline operators, surface mining","$36,770 per year  $17.68 per hour",See How to Become One,See How to Become One,See How to Become One,761400,2% (Slower than average),19000
https://www.bls.gov/ooh/sales/insurance-sales-agents.htm,     Insurance sales agents,"$50,940 per year  $24.49 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,501300,5% (Faster than average),27500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#471011,     First-line supervisors of construction trades and extraction workers,,,,,,,
https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,     Carpenters,"$48,330 per year  $23.24 per hour",High school diploma or equivalent,None,Apprenticeship,1024100,0% (Little or no change),-4200
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#372012,     Maids and housekeeping cleaners,,,,,,,
